,features,feature_sums,VIF
270,44X___XDC,511461351351.3514,2251799813685248.0
3914,GAANFM_G14_XDC_G61_S1312_XDC_W0|S1_N113N,31517996628923.117,2251799813685248.0
2424,FS_ODX_ARW_FSKRC_XDC,1.0008830754388184e+16,1801439850948198.5
12765,NFID_XDC,5404568832831891.0,1801439850948198.5
10786,GRG_CA_G14_XDC_W0|S1|G1M13A_S1313_XDC,628886529710373.4,1801439850948198.5
5015,GADAFLS_HG_G14_XDC_G42_S13112_XDC_W0|S1_F4,-30641841800.8579,1801439850948198.5
4011,GAANNL_G14_XDC_G61_S1313_XDC_W0|S1_N211N,1005340262197631.6,1801439850948198.5
6697,GADLF_T_NRESO_G14_XDC_G33_W1|S1V_S1311_XDC,98177216805134.47,1801439850948198.5
10661,GG_GXOB_G01_XDC,-409962332096173.5,1801439850948198.5
10649,GG_GR_G01_CA_XDC,2017206868135068.0,1801439850948198.5
12768,NFIOT_R_XDC,1903094730134444.0,1801439850948198.5
2399,FS_ODX_AFL_XDC,1.016384861559528e+16,1801439850948198.5
3991,GAANNI_G14_XDC_G61_S13112_XDC_W0|S1_N2KN,2182491211597.9524,1801439850948198.5
4098,GAAN_G14_XDC_G61_S1312_XDC_W0|S1_NN,778213598072494.6,1801439850948198.5
6030,GADLCD_V_G14_XDC_G53_S13_XDC_W0|S1_F2,616572508903.6984,1801439850948198.5
2429,FS_ODX_ARW_XDC,1.0009091511835674e+16,1801439850948198.5
10518,GE_G14_XDC_G2|_Z_S13_XDC,3100446111452963.5,1801439850948198.5
12779,NINV_XDC,2465527123011337.0,1801439850948198.5
2447,FS_ODX_CET1_XDC,1096036947023590.2,1801439850948198.5
10263,GESS_G14_XDC_W0|S1|G271_S13112_XDC,78124891577339.72,1801439850948198.5
10662,GG_GX_G01_CA_XDC,2432488355895641.5,1801439850948198.5
6329,GADLD_T_ODX_G14_XDC_G33_W2|S122_S1311_XDC,263714592996948.28,1801439850948198.5
1959,FSGDLD_XDC,4897781314127460.0,1801439850948198.5
5144,GADAFO_HG_G14_XDC_G42_S1311B_XDC_W0|S1_F8,13379456595338.725,1801439850948198.5
6702,GADLF_T_NRESO_G14_XDC_G33_W1|S1V_S13_XDC,97855285249961.53,1801439850948198.5
7453,GALDS_G14_XDC_G63_S1321_XDC_W2|S1_F3,2275143473394933.5,1801439850948198.5
3961,GAANF_G14_XDC_G61_S1311_XDC_W0|S1_N11N,1730467413603842.5,1801439850948198.5
6456,GADLFD_O_G14_XDC_G93_S1311B_XDC_W0|S1_F7,992974631743.0574,1801439850948198.5
9889,GEPR_G14_XDC_GF0305_S1311_XDC,4611657415182.779,1801439850948198.5
9893,GEPR_G14_XDC_GF0305_S1321_XDC,4592470787984.611,1801439850948198.5
3966,GAANF_G14_XDC_G61_S13_XDC_W0|S1_N11N,3612245986913231.0,1801439850948198.5
10624,GG_GEST_G01_XDC,199481452873700.7,1501199875790165.2
3417,GAAFD_G14_XDC_G62_S1311_XDC_W2|S1_F,3854051462854206.5,1501199875790165.2
11488,GRSSU_G14_XDC_W0|S1|G1214_S1311_XDC,56249865114869.195,1501199875790165.2
12780,NI_R_XDC,9555791304826928.0,1501199875790165.2
3883,GAAF_G14_XDC_G62|F_S1313_XDC,491706236133340.75,1501199875790165.2
3995,GAANNI_G14_XDC_G61_S1313_XDC_W0|S1_N2KN,741194300578.1359,1501199875790165.2
11921,GRTPR_G14_XDC_W0|S1|G1136_S1312_XDC,14804473712086.234,1501199875790165.2
12781,NI_XDC,1.214956508649264e+16,1501199875790165.2
3899,GAANFB_G14_XDC_G61_S1313_XDC_W0|S1_N11KN,1565575817136297.8,1501199875790165.2
4057,GAANN_G14_XDC_G61_S1311_XDC_W0|S1_N2N,2075644752589776.0,1501199875790165.2
6023,GADLCD_V_G14_XDC_G53_S13112_XDC_W0|S1_F2,554959372761.3339,1501199875790165.2
12117,GRT_G14_XDC_W0|S1|G11_S13_XDC,1969545448388733.8,1501199875790165.2
10582,GG_GADLD_T_G01_XDC,432295732595173.44,1501199875790165.2
3965,GAANF_G14_XDC_G61_S1321_XDC_W0|S1_N11N,1684862369948551.8,1501199875790165.2
9155,GEH_G14_XDC_GF06_S1313_XDC,107043698541769.77,1501199875790165.2
12352,GX_G14_XDC_G2M|_Z_S1311_XDC,2740556729039570.5,1501199875790165.2
2531,FS_ODX_FSR_FSNSF_XDC,4344329026247955.5,1501199875790165.2
5598,GADANNI_T_G14_XDC_G31_S13_XDC_W0|S1_N2KN,15084141702774.256,1501199875790165.2
2533,FS_ODX_FSR_XDC,4344329026247955.5,1501199875790165.2
8260,GEAT_G14_XDC_GF0405_S1314_XDC,10013381755.4753,1501199875790165.2
12758,NCP_R_XDC,1.566872142135757e+16,1501199875790165.2
271,44Y___XDC,5557027027.027,1501199875790165.2
12759,NCP_XDC,1.821325003312239e+16,1501199875790165.2
464,BCG_GEKC_G01_XDC,172220032992933.62,1501199875790165.2
7357,GALDA_G14_XDC_G63_S1321_XDC_W2|S1_F5,826031418583.8884,1501199875790165.2
8110,GANW_G14_XDC_G6|F_NN_S13_XDC,6576979611814022.0,1501199875790165.2
13203,TA_XDC_FS_ODX_IPCU,381085000000000.0,1501199875790165.2
414,BCG_GADANKC_T_G01_XDC,172220032992933.62,1286742750677284.5
461,BCG_GEG_G01_XDC,774297830418333.6,1286742750677284.5
3913,GAANFM_G14_XDC_G61_S1311_XDC_W0|S1_N113N,407102036028375.4,1286742750677284.5
454,BCG_GAL_G01_XDC,5047736120689526.0,1286742750677284.5
