"Dataset Name","Dataset Code","Country Name","Country Code","Product Name","Product Code","Indicator Name","Indicator Code","Metadata Attribute","Metadata Value","Frequency"
"Export Quality","EQ","China, P.R.: Mainland","924","","","","","Country Source Code","CHN",""
"Export Quality","EQ","Colombia","233","","","","","Country Code","233",""
"Export Quality","EQ","Colombia","233","","","","","Country Full Name","Colombia",""
"Export Quality","EQ","Colombia","233","","","","","Country ISO 2 Code","CO",""
"Export Quality","EQ","Colombia","233","","","","","Country ISO 3 Code","COL",""
"Export Quality","EQ","Colombia","233","","","","","Country Name","Colombia",""
"Export Quality","EQ","Colombia","233","","","","","Country SDMX Code","CO",""
"Export Quality","EQ","Colombia","233","","","","","Country SDMX Name","Colombia",""
"Export Quality","EQ","Colombia","233","","","","","Country Short Name","Colombia",""
"Export Quality","EQ","Colombia","233","","","","","Country Source Code","COL",""
"Export Quality","EQ","Comoros","632","","","","","Country Code","632",""
"Export Quality","EQ","Comoros","632","","","","","Country Full Name","Federal Islamic Republic of the Comoros",""
"Export Quality","EQ","Comoros","632","","","","","Country ISO 2 Code","KM",""
"Export Quality","EQ","Comoros","632","","","","","Country ISO 3 Code","COM",""
"Export Quality","EQ","Comoros","632","","","","","Country Name","Comoros",""
"Export Quality","EQ","Comoros","632","","","","","Country SDMX Code","KM",""
"Export Quality","EQ","Comoros","632","","","","","Country SDMX Name","Comoros",""
"Export Quality","EQ","Comoros","632","","","","","Country Short Name","Comoros             ",""
"Export Quality","EQ","Comoros","632","","","","","Country Source Code","COM",""
"Export Quality","EQ","Congo, Democratic Republic of","636","","","","","Country Code","636",""
"Export Quality","EQ","Congo, Democratic Republic of","636","","","","","Country Full Name","Democratic Republic of the Congo",""
"Export Quality","EQ","Congo, Democratic Republic of","636","","","","","Country ISO 2 Code","CD",""
"Export Quality","EQ","Congo, Democratic Republic of","636","","","","","Country ISO 3 Code","COD",""
"Export Quality","EQ","Congo, Democratic Republic of","636","","","","","Country Name","Congo, Democratic Republic of",""
